"CowTagID","Day_Night","Tide","Phosphate_umolL","Silicate_umolL","Nitrite_umolL","Ammonia_umolL","Season","lat","lng","N_ug","del15N","C_ug","del13C","N_percent","C_percent","C_N"
"V3","Day","Low",0.21,0.87,0.46,0.17,"August",-17.54012598,-149.90056,27.5,4,892.4,-10.4,1.080889867,35.07585882,32.45090909
"V4","Day","Low",0.21,0.85,0.29,0.02,"August",-17.54024902,-149.900454,30.9,3.9,912.8,-12.1,1.16017121,34.27198318,29.54045307
"V5","Day","Low",0.23,0.88,0.27,0.08,"August",-17.54025003,-149.900336,25.7,4.1,887.6,-10.3,0.974888097,33.66967605,34.53696498
"V6","Day","Low",0.21,1.03,0.28,0.02,"August",-17.54002498,-149.900106,26.6,4.9,833.8,-10.3,1.074096507,33.66848375,31.34586466
"V7","Day","Low",0.24,1.2,0.58,0.21,"August",-17.54004803,-149.899985,24.9,4.8,780.1,-10.5,0.994806233,31.16660008,31.32931727
"V8","Day","Low",0.21,1.87,0.35,0.19,"August",-17.54014903,-149.899896,32.3,5.2,870.7,-11.4,1.263891063,34.07027704,26.95665635
"V9","Day","Low",0.21,1.67,0.45,0.16,"August",-17.540245,-149.899765,23.1,3.6,885.6,-9.2,0.892029657,34.19833179,38.33766234
"V10","Day","Low",0.21,1.59,0.3,0.03,"August",-17.54030501,-149.899788,24.9,4,838.2,-11.3,0.977659115,32.9105972,33.6626506
"V11","Day","Low",0.21,0.88,0.34,0.07,"August",-17.54019303,-149.900068,30.9,4.5,876,-10.6,1.187867605,33.67546996,28.34951456
"V12","Day","Low",0.22,0.85,0.39,0.17,"August",-17.54030996,-149.900112,27.2,3.8,846.5,-15.5,1.101526748,34.28097032,31.12132353
"V13","Day","Low",0.2,2.33,0.35,0.2,"August",-17.540749,-149.899133,24.3,3.6,883.1,-11.3,0.949033392,34.48935755,36.34156379
"V14","Day","Low",0.2,1.47,0.45,0.21,"August",-17.54039696,-149.899396,23,4.5,845,-10.4,0.892337536,32.78370514,36.73913043
"V15","Day","Low",0.19,1,0.41,0.15,"August",-17.54014299,-149.900183,30.2,4.6,908.8,-10.8,1.139493642,34.29045768,30.09271523
"V16","Day","Low",0.19,0.96,0.3,0.02,"August",-17.54029797,-149.900492,21.9,3.7,836.9,-10.5,0.876701361,33.50280224,38.21461187
"V17","Day","Low",0.21,1.69,0.39,0.11,"August",-17.54031901,-149.899572,27.3,4.3,841.7,-10.2,1.079862347,33.29377794,30.83150183
"V18","Day","Low",0.2,0.95,0.34,0.12,"August",-17.54019697,-149.899906,28.2,4.3,817.5,-11.4,1.167943674,33.8579416,28.9893617
"V19","Day","Low",0.19,0.81,0.26,0.08,"August",-17.54050802,-149.89978,27.1,3.5,928.1,-9.5,1.03684432,35.50904848,34.24723247
"V20","Day","Low",0.19,0.95,0.34,0.11,"August",-17.54045103,-149.899509,25.1,3.8,842.7,-12.9,0.988305705,33.18108438,33.57370518
"VSEEP","Day","Low",0.52,62.53,4.08,0.41,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"V1","Day","Low",0.22,2.29,0.68,0.52,"August",-17.53975298,-149.900506,25.2,4.6,870.3,-9.8,0.946727778,32.69592005,34.53571429
"V2","Day","Low",0.2,2.06,0.62,2.4,"August",-17.53989003,-149.900519,26.4,4.4,849.9,-13.1,1.048576081,33.75700044,32.19318182
"V3","Day","Low",0.19,1.26,0.56,0.46,"August",-17.54012598,-149.90056,27.5,4,892.4,-10.4,1.080889867,35.07585882,32.45090909
"V4","Day","Low",0.24,1.55,1.06,1.07,"August",-17.54024902,-149.900454,30.9,3.9,912.8,-12.1,1.16017121,34.27198318,29.54045307
"V5","Day","Low",0.2,1.05,0.47,0.31,"August",-17.54025003,-149.900336,25.7,4.1,887.6,-10.3,0.974888097,33.66967605,34.53696498
"V6","Day","Low",0.21,2.47,0.57,0.43,"August",-17.54002498,-149.900106,26.6,4.9,833.8,-10.3,1.074096507,33.66848375,31.34586466
"V7","Day","Low",0.22,2.47,0.92,0.7,"August",-17.54004803,-149.899985,24.9,4.8,780.1,-10.5,0.994806233,31.16660008,31.32931727
"V8","Day","Low",0.19,1.27,0.54,0.54,"August",-17.54014903,-149.899896,32.3,5.2,870.7,-11.4,1.263891063,34.07027704,26.95665635
"V9","Day","Low",0.22,1.09,0.55,0.45,"August",-17.540245,-149.899765,23.1,3.6,885.6,-9.2,0.892029657,34.19833179,38.33766234
"V10","Day","Low",0.22,1.56,0.62,0.43,"August",-17.54030501,-149.899788,24.9,4,838.2,-11.3,0.977659115,32.9105972,33.6626506
"V11","Day","Low",0.2,1.04,0.5,0.42,"August",-17.54019303,-149.900068,30.9,4.5,876,-10.6,1.187867605,33.67546996,28.34951456
"V12","Day","Low",0.19,1.61,0.58,0.76,"August",-17.54030996,-149.900112,27.2,3.8,846.5,-15.5,1.101526748,34.28097032,31.12132353
"V13","Day","Low",0.21,1.07,0.55,0.49,"August",-17.540749,-149.899133,24.3,3.6,883.1,-11.3,0.949033392,34.48935755,36.34156379
"V14","Day","Low",0.22,2.33,0.44,0.34,"August",-17.54039696,-149.899396,23,4.5,845,-10.4,0.892337536,32.78370514,36.73913043
"V15","Day","Low",0.22,1.18,0.39,0.34,"August",-17.54014299,-149.900183,30.2,4.6,908.8,-10.8,1.139493642,34.29045768,30.09271523
"V16","Day","Low",0.21,1,0.32,0.31,"August",-17.54029797,-149.900492,21.9,3.7,836.9,-10.5,0.876701361,33.50280224,38.21461187
"V17","Day","Low",0.22,2.06,0.41,0.24,"August",-17.54031901,-149.899572,27.3,4.3,841.7,-10.2,1.079862347,33.29377794,30.83150183
"V18","Day","Low",0.22,1.33,0.31,0.2,"August",-17.54019697,-149.899906,28.2,4.3,817.5,-11.4,1.167943674,33.8579416,28.9893617
"V19","Day","Low",0.19,1.29,0.23,0.14,"August",-17.54050802,-149.89978,27.1,3.5,928.1,-9.5,1.03684432,35.50904848,34.24723247
"V20","Day","Low",0.19,1.07,0.32,0.23,"August",-17.54045103,-149.899509,25.1,3.8,842.7,-12.9,0.988305705,33.18108438,33.57370518
"Varari_Well","Day",NA,1.57,229.28,279.15,0.79,"August",NA,NA,NA,NA,NA,NA,NA,NA,NA
"VSEEP","Night","Low",0.43,61.8,4.15,0.58,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"VSEEP","Night","High",0.2,3.03,0.35,0.4,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"VSEEP","Night","Mid",0.25,6.11,0.64,0.44,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"VSEEP","Day","Low",0.51,79.11,4.33,0.43,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"VSEEP","Day","Mid",0.33,41.25,1.99,0.27,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"VSEEP","Day","High",0.22,5.16,0.4,0.43,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"VSEEP","Day","Mid",0.2,3.66,0.65,0.39,"August",-17.540302,-149.899331,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
"CSEEP","Night","Low",0.65,96.36,3.72,1.75,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Night","Mid",0.21,17.29,0.58,0.04,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Night","High",0.26,8.91,0.5,0.44,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Night","Mid",0.25,13.38,0.61,0.08,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Day","Low",1.04,182.72,4.49,0.19,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Day","Mid",0.27,12.49,0.5,0.63,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Day","High",0.15,7.15,0.09,0.06,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Day","Mid",0.22,18.96,0.96,0.02,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Night","Low",0.77,142.12,3.44,0.53,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Night","Mid",0.3,16.73,0.68,0.09,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Night","High",0.2,7.14,0.27,0.05,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Night","Mid",0.17,7.44,0.26,1.48,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSEEP","Day","Low",1.29,98.03,6.06,0.15,"August",-17.516384,-149.912515,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
"CSPRING","Day","High",4.29,868.38,14.53,0.44,"August",NA,NA,NA,NA,NA,NA,NA,NA,NA
