"CowTagID","Day_Night","Tide","Phosphate_umolL","Silicate_umolL","Nitrite_umolL","Ammonia_umolL","Season","lat","lng","N_ug","del15N","C_ug","del13C","N_percent","C_percent","C_N"
"V19","Day","High",0.11887111,0.898861816,0.067080879,0.155294887,"March",-17.54050802,-149.89978,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
"V20","Day","High",0.147596874,1.364024867,0.122511503,0.15511487,"March",-17.54045103,-149.899509,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
"VSEEP","Day","Mid",0.756406727,30.180599,1.89989671,0.208039943,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","Low",2.3580421,447.2495465,18.53571555,0.220581145,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"V1","Night","Low",0.187228219,4.940658029,0.758656776,0.673084523,"March",-17.53975298,-149.900506,23.4,3.6,759.5,-9.9,0.962962963,31.25514403,32.45726496
"V2","Night","Low",0.171589152,3.700915433,0.620575938,0.256344574,"March",-17.53989003,-149.900519,28.9,3.8,898.9,-9.8,1.005882148,31.28676343,31.10380623
"V3","Night","Low",0.165463464,1.382714454,0.458430097,0.466304701,"March",-17.54012598,-149.90056,27.5,3.7,1010.7,-9.9,0.924214418,33.96740044,36.75272727
"V4","Night","Low",0.143373862,0.99334806,0.252300281,0.237262744,"March",-17.54024902,-149.900454,27.9,3.3,803.2,-11.9,1.189258312,34.23699915,28.78853047
"V5","Night","Low",0.162771874,2.390567731,0.3723549,0.470025058,"March",-17.54025003,-149.900336,37.8,3.3,825.9,-16.4,1.35863705,29.68514126,21.84920635
"V6","Night","Low",0.17033617,4.688002503,0.424090149,0.263965304,"March",-17.54002498,-149.900106,30.6,3.9,1001.7,-9.6,0.964812713,31.58342792,32.73529412
"V7","Night","Low",0.167690987,3.509866323,0.379385126,0.239062917,"March",-17.54004803,-149.899985,19.2,3.5,736.1,-9.2,0.839491059,32.18486293,38.33854167
"V8","Night","Low",0.171403525,3.702299847,0.406694848,0.237502768,"March",-17.54014903,-149.899896,24.7,3.7,900.5,-9.6,0.829137294,30.22826452,36.45748988
"V9","Night","Low",0.148617822,1.543652563,0.244549007,0.224481519,"March",-17.540245,-149.899765,24.8,3.3,762.4,-10.1,1.006289308,30.93528099,30.74193548
"V10","Night","Low",0.15502195,0.987118198,0.185062483,0.215540662,"March",-17.54030501,-149.899788,23.4,3.2,831.9,-11.1,0.963518076,34.25430289,35.55128205
"V11","Night","Low",0.173538235,3.202180346,0.411652058,0.240503055,"March",-17.54019303,-149.900068,28.4,4,853.4,-10.4,1.076450745,32.34658682,30.04929577
"V12","Night","Low",0.148385788,0.940740334,0.25716736,0.203179477,"March",-17.54030996,-149.900112,34.7,6.1,1090.9,-10.4,1.069535199,33.62409074,31.43804035
"V13","Night","Low",0.157527914,1.252579552,0.34603662,0.242303228,"March",-17.540749,-149.899133,22.1,3.4,963.3,-9.5,0.753109559,32.82671665,43.58823529
"V14","Night","Low",0.156135712,3.467295597,0.279610003,0.272426115,"March",-17.54039696,-149.899396,23.3,4.4,739,-10.2,1.081005846,34.2859794,31.7167382
"V15","Night","Low",0.179246262,4.175077174,0.529273138,0.242183216,"March",-17.54014299,-149.900183,23.8,6.7,740.3,-10.6,1.011904762,31.47534014,31.10504202
"V16","Night","Low",0.164999397,1.081950546,0.156671188,0.178217084,"March",-17.54029797,-149.900492,23,3.4,746,-9.6,1.001960357,32.49836637,32.43478261
"V17","Night","Low",0.149221109,2.725595881,0.344684654,0.248183791,"March",-17.54031901,-149.899572,20.4,3.9,764,-9.9,0.822547478,30.80520947,37.45098039
"V18","Night","Low",0.201475084,7.738904509,0.669156598,4.25986836,"March",-17.54019697,-149.899906,27.1,4.1,962,-9.4,0.866922585,30.77415227,35.49815498
"V19","Night","Low",0.187056048,0.739466183,0.37666396,0.179777417,"March",-17.54050802,-149.89978,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
"V20","Night","Low",0.154279443,1.427015697,0.28925403,0.465584632,"March",-17.54045103,-149.899509,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
"VSEEP","Night","Mid",1.685608624,319.4189341,12.43864977,0.331291758,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","Mid",0.344222177,23.99296133,1.503680413,0.302128963,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","High",0.214376154,3.096964894,1.25825344,1.27110185,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"V1","Night","High",0.173399014,1.280613933,0.333959053,0.298588623,"March",-17.53975298,-149.900506,23.4,3.6,759.5,-9.9,0.962962963,31.25514403,32.45726496
"V2","Night","High",0.174559182,1.1272901,0.232831964,0.163935715,"March",-17.53989003,-149.900519,28.9,3.8,898.9,-9.8,1.005882148,31.28676343,31.10380623
"V3","Night","High",0.164024855,0.950777335,0.192002578,0.66846408,"March",-17.54012598,-149.90056,27.5,3.7,1010.7,-9.9,0.924214418,33.96740044,36.75272727
"V4","Night","High",0.163003907,0.889170919,0.184431566,0.132552707,"March",-17.54024902,-149.900454,27.9,3.3,803.2,-11.9,1.189258312,34.23699915,28.78853047
"V5","Night","High",0.161890146,0.925165679,0.135219987,0.147074099,"March",-17.54025003,-149.900336,37.8,3.3,825.9,-16.4,1.35863705,29.68514126,21.84920635
"V6","Night","High",0.165834718,1.491044837,0.175148063,0.125652045,"March",-17.54002498,-149.900106,30.6,3.9,1001.7,-9.6,0.964812713,31.58342792,32.73529412
"V7","Night","High",0.17558013,1.628447911,0.203178834,0.162075537,"March",-17.54004803,-149.899985,19.2,3.5,736.1,-9.2,0.839491059,32.18486293,38.33854167
"V8","Night","High",0.166345192,1.306225589,0.169830328,0.13123258,"March",-17.54014903,-149.899896,24.7,3.7,900.5,-9.6,0.829137294,30.22826452,36.45748988
"V9","Night","High",0.158827302,1.031073338,0.105927381,0.163515675,"March",-17.540245,-149.899765,24.8,3.3,762.4,-10.1,1.006289308,30.93528099,30.74193548
"V10","Night","High",0.145601385,1.004769475,0.101060302,0.129792442,"March",-17.54030501,-149.899788,23.4,3.2,831.9,-11.1,0.963518076,34.25430289,35.55128205
"V11","Night","High",0.163467975,1.000616233,0.174607276,0.092888905,"March",-17.54019303,-149.900068,28.4,4,853.4,-10.4,1.076450745,32.34658682,30.04929577
"V12","Night","High",0.163143128,0.926550092,0.122962158,0.125171999,"March",-17.54030996,-149.900112,34.7,6.1,1090.9,-10.4,1.069535199,33.62409074,31.43804035
"V13","Night","High",0.164488923,1.170206929,0.125666091,0.132612713,"March",-17.540749,-149.899133,22.1,3.4,963.3,-9.5,0.753109559,32.82671665,43.58823529
"V14","Night","High",0.163235941,2.041695443,0.180736191,0.223881462,"March",-17.54039696,-149.899396,23.3,4.4,739,-10.2,1.081005846,34.2859794,31.7167382
"V15","Night","High",0.167134106,0.984003267,0.280331052,1.451119107,"March",-17.54014299,-149.900183,23.8,6.7,740.3,-10.6,1.011904762,31.47534014,31.10504202
"V16","Night","High",0.152701614,0.900592333,0.128910811,0.302008951,"March",-17.54029797,-149.900492,23,3.4,746,-9.6,1.001960357,32.49836637,32.43478261
"V17","Night","High",0.142213694,1.565803184,0.156130402,17.11922004,"March",-17.54031901,-149.899572,20.4,3.9,764,-9.9,0.822547478,30.80520947,37.45098039
"V18","Night","High",0.190514382,0.858814892,0.468645175,0.340527946,"March",-17.54019697,-149.899906,27.1,4.1,962,-9.4,0.866922585,30.77415227,35.49815498
"V19","Night","High",0.153954596,0.897477402,0.087270245,0.205279679,"March",-17.54050802,-149.89978,20.1,3.1,811.5,-9.8,0.85126207,34.36811791,40.37313433
"V20","Night","High",0.166438005,1.164669273,0.119176652,0.203599517,"March",-17.54045103,-149.899509,19.4,3.6,696.2,-10.8,0.825848197,29.63688221,35.88659794
"VSPRING","Day",NA,2.599125048,713.0571823,32.63479397,1.596933085,"March",-17.540302,-149.899331,NA,NA,NA,NA,NA,NA,NA
"VRC","Night","Mid",0.163143128,3.38353856,0.463307649,0.288927697,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Night","Mid",0.16977929,2.891033335,0.423480234,0.235642589,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Day","Mid",0.158734489,3.675995984,0.417290839,0.571494785,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Day","Mid",0.1622614,3.309472419,0.426171276,0.594296971,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Day","Mid",0.20068617,2.159370619,0.581803177,0.405878908,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Day","Mid",0.164488923,0.887786505,0.419353971,0.265345437,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VSEEP","Day","Low",1.632472922,362.0551093,18.06521662,3.244931066,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","Low",1.356167268,317.7756759,14.62960347,4.17850056,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Night","Low",0.810377751,153.5596441,7.296705625,3.404006315,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Day","Low",1.577527357,309.2760646,13.72479785,4.325574659,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Day","Low",1.556087449,345.1656733,13.86780128,3.340640241,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Day","Mid",0.990389445,189.8636089,9.485011122,1.533026959,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VSEEP","Day","High",0.186100455,4.021024445,0.424243494,0.236324616,"March",-17.540302,-149.899331,33.4,7.7,820.5,-11.6,1.254271659,30.81227233,24.56586826
"VRC","Day","Low",0.178642974,0.847984607,0.565387824,0.213200438,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Day","High",0.18273313,1.202340848,0.384785142,0.294709303,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Night","Low",0.116086706,0.930011127,0.413523381,0.02,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Night","High",0.18026721,0.97327406,0.49515164,0.221841266,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Night","Low",0.174976843,1.745776984,1.492810434,0.092468864,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"VRC","Night","High",0.151541446,0.935202679,0.352885245,0.218900984,"March",-17.54606,-149.90274,19,5.9,814.2,-10.2,0.751077203,32.18563466,42.85263158
"CRC","Night","High",0.17754563,2.493573465,0.380194908,0.394289277,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CPIT","Night","High",0.336082936,21.18450595,1.102071205,1.210785787,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CRC","Day","Low",0.208397608,3.656957761,0.472882313,0.522735588,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CPIT","Day","High",0.170355935,2.212090369,0.684511262,0.349952479,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CPIT_Bottom","Day","Mid",0.132541784,1.427580548,0.148652943,1.982530582,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CRC","Day","High",0.183279183,3.128565259,0.277179478,0.250076136,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CSEEP","Night","Mid",0.207259998,8.750703982,0.381783835,0.780932234,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"CSEEP","Day","Low",0.238066473,12.17463073,0.327407224,0.862670795,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"C1","Day","Low",0.148525009,3.528902013,0.528879361,0.679145104,"March",-17.517048,-149.912693,21.3,3,680.6,-8.6,0.900824699,28.78409812,31.95305164
"C2","Day","Low",0.193353907,2.489553321,0.74272746,0.62579999,"March",-17.51706904,-149.912949,17.6,2.6,772.1,-9.7,0.676584785,29.68131319,43.86931818
"C3","Day","Low",0.221940451,2.031658442,1.19186229,0.793396057,"March",-17.51697499,-149.913111,19.5,2.9,819.9,-9.3,0.767444606,32.26809398,42.04615385
"C4","Day","Low",0.23306099,4.971918459,0.345150242,0.912638604,"March",-17.51679302,-149.912772,NA,NA,NA,NA,NA,NA,NA
"C5","Day","Low",0.163166241,6.271296536,0.463260478,1.029704346,"March",-17.51659596,-149.912877,15,2.9,858.7,-8,0.545633116,31.23567713,57.24666667
"C6","Day","Low",0.192653088,1.269983588,0.50174782,0.599376603,"March",-17.51653796,-149.913134,19.9,3.1,890.4,-8.7,0.687724634,30.77135748,44.74371859
"C7","Day","Low",0.217452983,2.270458668,0.64298577,0.486637847,"March",-17.51630402,-149.913229,13.3,3,695.2,-8.2,0.577332118,30.17754048,52.27067669
"C8","Day","Low",0.211400898,5.348380409,0.632657745,0.815073939,"March",-17.51632397,-149.91291,10.7,3.1,524.9,-8.6,0.662661795,32.50758655,49.05607477
"C9","Day","Low",0.162210649,6.209320204,0.434659793,0.577978764,"March",-17.51639103,-149.913111,16.3,2.9,817,-8.7,0.616700087,30.91067307,50.12269939
"C10","Day","Low",0.167443654,6.167884599,0.343384767,0.894382275,"March",-17.51588602,-149.912912,16.6,3.1,830.2,-9.4,0.648234927,32.41955639,50.01204819
"C11","Day","Low",0.249897615,3.055256111,1.156297447,0.965451554,"March",-17.51598098,-149.913194,24.8,2.7,916.4,-8.9,0.799509978,29.54318321,36.9516129
"C12","Day","Low",0.277882817,2.035302755,1.973447265,0.92289297,"March",-17.51595701,-149.913303,17.8,2.7,727.7,-9.2,0.753407263,30.80081266,40.88202247
"C13","Day","Low",0.223050023,5.346609657,1.164595177,1.098402673,"March",-17.51557102,-149.913136,15.9,2.6,671.5,-9.7,0.715635971,30.22324242,42.2327044
"C14","Day","Low",0.206167893,5.100120929,0.72154938,1.017612492,"March",-17.51652597,-149.913031,15.8,3.2,814.3,-9,0.589112603,30.3616704,51.53797468
"C15","Day","Low",0.242252877,1.683631338,1.236714805,0.774708485,"March",-17.51721597,-149.913056,21.4,3.1,810.5,-9.5,0.83698373,31.69978098,37.87383178
"C16","Day","Low",0.217316469,2.831433014,0.648017372,0.826750876,"March",-17.51723299,-149.912976,13.6,3.3,733.8,-9,0.553520554,29.86568987,53.95588235
"C17","Day","Low",0.208761643,3.620834413,0.413738922,1.263361642,"March",-17.51721203,-149.912771,22.3,3,893.2,-9.6,0.773472998,30.98054178,40.05381166
"C18","Day","Low",0.263230402,2.854452794,1.167508209,1.09709865,"March",-17.51757103,-149.912982,29.1,3.3,1094.9,-8.8,0.827339152,31.12899099,37.62542955
"C19","Day","Low",0.278201348,3.585773516,1.118251474,0.821060592,"March",-17.51770397,-149.912893,20.5,3,792,-9.8,0.848650439,32.78688525,38.63414634
"C20","Day","Low",0.152472709,3.923633066,0.238956958,0.880452934,"March",-17.51692303,-149.912724,21,3.2,759.5,-8.7,0.875,31.64583333,36.16666667
"CPIT","Day","Low",0.209262192,1.714442429,0.493626637,0.681233712,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CPIT","Night","High",0.21276603,1.162243098,0.76084714,0.593271402,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CPIT","Night","Low",0.31333074,31.95889263,1.155502984,0.835819767,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CRC","Night","High",0.164804399,1.208007256,0.231806786,0.02,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CSEEP","Day","Mid",0.159662403,10.89048113,0.305780163,0.352619799,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"CSEEP","Day","High",0.139959001,7.135777835,0.38354931,0.438803896,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"C1","Day","High",0.147012182,3.416135441,0.429010275,0.637430379,"March",-17.517048,-149.912693,21.3,3,680.6,-8.6,0.900824699,28.78409812,31.95305164
"C2","Day","High",0.17299519,1.892225965,0.596024152,0.545496725,"March",-17.51706904,-149.912949,17.6,2.6,772.1,-9.7,0.676584785,29.68131319,43.86931818
"C3","Day","High",0.198295633,1.196674441,1.061932841,0.329858663,"March",-17.51697499,-149.913111,19.5,2.9,819.9,-9.3,0.767444606,32.26809398,42.04615385
"C4","Day","High",0.155339486,3.071547033,0.443222344,0.259856312,"March",-17.51679302,-149.912772,NA,NA,NA,NA,NA,NA,NA
"C5","Day","High",0.180230389,1.968014166,0.535380107,0.564760708,"March",-17.51659596,-149.912877,15,2.9,858.7,-8,0.545633116,31.23567713,57.24666667
"C6","Day","High",0.211673925,0.922207826,0.539882066,0.349715384,"March",-17.51653796,-149.913134,19.9,3.1,890.4,-8.7,0.687724634,30.77135748,44.74371859
"C7","Day","High",0.201071401,0.881834672,0.592758024,0.480710468,"March",-17.51630402,-149.913229,13.3,3,695.2,-8.2,0.577332118,30.17754048,52.27067669
"C8","Day","High",0.161482579,2.299499007,0.553564493,0.270940512,"March",-17.51632397,-149.91291,10.7,3.1,524.9,-8.6,0.662661795,32.50758655,49.05607477
"C9","Day","High",0.187010543,1.006141487,0.596288973,0.248712839,"March",-17.51639103,-149.913111,16.3,2.9,817,-8.7,0.616700087,30.91067307,50.12269939
"C10","Day","High",0.139594965,3.184521033,0.455139296,0.248594291,"March",-17.51588602,-149.912912,16.6,3.1,830.2,-9.4,0.648234927,32.41955639,50.01204819
"C11","Day","High",0.193335654,2.355808932,0.760566364,0.274556213,"March",-17.51598098,-149.913194,24.8,2.7,916.4,-8.9,0.799509978,29.54318321,36.9516129
"C12","Day","High",0.206713946,1.807229852,0.811941669,0.328851008,"March",-17.51595701,-149.913303,17.8,2.7,727.7,-9.2,0.753407263,30.80081266,40.88202247
"C13","Day","High",0.146329616,4.128332038,0.642632675,0.298384278,"March",-17.51557102,-149.913136,15.9,2.6,671.5,-9.7,0.715635971,30.22324242,42.2327044
"C14","Day","High",0.183916245,1.144260171,0.493803185,0.276156605,"March",-17.51652597,-149.913031,15.8,3.2,814.3,-9,0.589112603,30.3616704,51.53797468
"C15","Day","High",0.19474629,1.736753909,0.740881325,0.275682415,"March",-17.51721597,-149.913056,21.4,3.1,810.5,-9.5,0.83698373,31.69978098,37.87383178
"C16","Day","High",0.171630058,2.106841151,0.642897497,0.27200744,"March",-17.51723299,-149.912976,13.6,3.3,733.8,-9,0.553520554,29.86568987,53.95588235
"C17","Day","High",0.138138825,4.435380496,0.381607288,0.242370543,"March",-17.51721203,-149.912771,22.3,3,893.2,-9.6,0.773472998,30.98054178,40.05381166
"C18","Day","High",0.207305503,1.283087156,0.780339677,0.229330308,"March",-17.51757103,-149.912982,29.1,3.3,1094.9,-8.8,0.827339152,31.12899099,37.62542955
"C19","Day","High",0.187465587,1.537721344,0.671321634,0.256892622,"March",-17.51770397,-149.912893,20.5,3,792,-9.8,0.848650439,32.78688525,38.63414634
"C20","Day","High",0.144281918,3.225956638,0.32113979,0.18920195,"March",-17.51692303,-149.912724,21,3.2,759.5,-8.7,0.875,31.64583333,36.16666667
"CPIT_Bottom","Day","High",0.188876223,2.222648354,0.150418417,0.208940123,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CPIT","Day","High",0.189922825,1.28662866,0.326789308,0.2334202,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CRC","Day","High",0.181914051,2.231502116,0.240016242,0.062059662,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CSPRING_ROAD","Day",NA,4.060162496,737.4880282,19.76572155,0.888929086,"March",-17.568023,-149.867636,NA,NA,NA,NA,NA,NA,NA
"CSEEP","Day","Mid",0.122621827,8.253476721,0.169485541,0.07201766,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"CSPRING_BEACH","Day","Low",3.96159998,603.3548484,18.17052717,0.441174847,"March",-17.516384,-149.912515,NA,NA,NA,NA,NA,NA,NA
"CSEEP","Night","Low",0.388139962,42.28698281,1.723102998,0.34029085,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"C1","Night","Low",0.150379507,6.538680142,2.51686028,0.629902607,"March",-17.517048,-149.912693,21.3,3,680.6,-8.6,0.900824699,28.78409812,31.95305164
"C2","Night","Low",0.164667886,4.689660534,0.683768229,0.407507333,"March",-17.51706904,-149.912949,17.6,2.6,772.1,-9.7,0.676584785,29.68131319,43.86931818
"C3","Night","Low",0.205985875,1.671944372,0.952826524,0.417643151,"March",-17.51697499,-149.913111,19.5,2.9,819.9,-9.3,0.767444606,32.26809398,42.04615385
"C4","Night","Low",0.136910206,4.584123694,0.497598955,0.426297125,"March",-17.51679302,-149.912772,NA,NA,NA,NA,NA,NA,NA
"C5","Night","Low",0.173541243,4.80688434,0.639454822,0.382197423,"March",-17.51659596,-149.912877,15,2.9,858.7,-8,0.545633116,31.23567713,57.24666667
"C6","Night","Low",0.223596076,1.774293859,0.569806857,0.276393701,"March",-17.51653796,-149.913134,19.9,3.1,890.4,-8.7,0.687724634,30.77135748,44.74371859
"C7","Night","Low",0.181641025,4.329135355,0.700540235,0.358606453,"March",-17.51630402,-149.913229,13.3,3,695.2,-8.2,0.577332118,30.17754048,52.27067669
"C8","Night","Low",0.159707907,3.725308802,0.51242894,0.592026653,"March",-17.51632397,-149.91291,10.7,3.1,524.9,-8.6,0.662661795,32.50758655,49.05607477
"C9","Night","Low",0.18428028,3.896009329,0.744765368,0.350960133,"March",-17.51639103,-149.913111,16.3,2.9,817,-8.7,0.616700087,30.91067307,50.12269939
"C10","Night","Low",0.166670079,5.150764447,0.45452138,0.666178169,"March",-17.51588602,-149.912912,16.6,3.1,830.2,-9.4,0.648234927,32.41955639,50.01204819
"C11","Night","Low",0.20116241,4.713742766,0.842660923,0.516689661,"March",-17.51598098,-149.913194,24.8,2.7,916.4,-8.9,0.799509978,29.54318321,36.9516129
"C12","Night","Low",0.199205721,2.762373672,0.94037993,0.303778193,"March",-17.51595701,-149.913303,17.8,2.7,727.7,-9.2,0.753407263,30.80081266,40.88202247
"C13","Night","Low",0.177409116,5.229031701,0.842396102,0.391562682,"March",-17.51557102,-149.913136,15.9,2.6,671.5,-9.7,0.715635971,30.22324242,42.2327044
"C14","Night","Low",0.185144863,2.694022631,0.635217683,0.271296154,"March",-17.51652597,-149.913031,15.8,3.2,814.3,-9,0.589112603,30.3616704,51.53797468
"C15","Night","Low",0.207214494,1.546220955,0.83047915,0.371172497,"March",-17.51721597,-149.913056,21.4,3.1,810.5,-9.5,0.83698373,31.69978098,37.87383178
"C16","Night","Low",0.206076884,2.612922173,0.732318774,0.331044139,"March",-17.51723299,-149.912976,13.6,3.3,733.8,-9,0.553520554,29.86568987,53.95588235
"C17","Night","Low",0.185372385,4.369508508,0.530171957,0.325531676,"March",-17.51721203,-149.912771,22.3,3,893.2,-9.6,0.773472998,30.98054178,40.05381166
"C18","Night","Low",0.211992455,1.345063488,0.663200452,0.203546208,"March",-17.51757103,-149.912982,29.1,3.3,1094.9,-8.8,0.827339152,31.12899099,37.62542955
"C19","Night","Low",0.236519323,1.379416084,0.605204618,0.269458667,"March",-17.51770397,-149.912893,20.5,3,792,-9.8,0.848650439,32.78688525,38.63414634
"C20","Night","Low",0.129219964,5.129515419,0.424508315,0.253158373,"March",-17.51692303,-149.912724,21,3.2,759.5,-8.7,0.875,31.64583333,36.16666667
"CRC","Night","Low",0.182096069,1.19632029,0.268616927,0.048248868,"March",-17.5168,-149.92307,17.7,6.2,828.1,-11,0.733405155,34.31258805,46.78531073
"CPIT","Night","Low",0.173541243,1.690360197,0.417622965,0.312669262,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CPIT_Bottom","Night","Low",0.122212287,1.927286862,0.095159069,0.330155032,"March",-17.51652,-149.91379,NA,NA,NA,NA,NA,NA,NA
"CSEEP","Night","Mid",0.184871837,8.563004233,0.545796405,0.586810559,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"CSEEP","Night","High",0.238567021,8.679519737,0.367836588,0.189735414,"March",-17.516384,-149.912515,15,5.3,547,-9.5,0.763708569,27.84990581,36.46666667
"C1","Night","High",0.160709004,2.847369785,0.666643127,0.27935739,"March",-17.517048,-149.912693,21.3,3,680.6,-8.6,0.900824699,28.78409812,31.95305164
"C2","Night","High",0.191378965,1.23350609,0.764803503,0.513607424,"March",-17.51706904,-149.912949,17.6,2.6,772.1,-9.7,0.676584785,29.68131319,43.86931818
"C3","Night","High",0.208443113,1.186404077,0.908071749,0.446628037,"March",-17.51697499,-149.913111,19.5,2.9,819.9,-9.3,0.767444606,32.26809398,42.04615385
"C4","Night","High",0.143462839,3.128565259,0.456639949,0.2248255,"March",-17.51679302,-149.912772,NA,NA,NA,NA,NA,NA,NA
"C5","Night","High",0.153064266,3.03152803,0.422036651,1.135152426,"March",-17.51659596,-149.912877,15,2.9,858.7,-8,0.545633116,31.23567713,57.24666667
"C6","Night","High",0.219773707,1.238464196,0.730729847,0.27372638,"March",-17.51653796,-149.913134,19.9,3.1,890.4,-8.7,0.687724634,30.77135748,44.74371859
"C7","Night","High",0.173632252,1.486369526,0.672204371,0.641460997,"March",-17.51630402,-149.913229,13.3,3,695.2,-8.2,0.577332118,30.17754048,52.27067669
"C8","Night","High",0.183825236,3.319098212,0.394671798,1.471531206,"March",-17.51632397,-149.91291,10.7,3.1,524.9,-8.6,0.662661795,32.50758655,49.05607477
"C9","Night","High",0.193927211,1.927995163,0.618975319,0.1424942,"March",-17.51639103,-149.913111,16.3,2.9,817,-8.7,0.616700087,30.91067307,50.12269939
"C10","Night","High",0.179911858,4.314615185,0.479502842,0.282380354,"March",-17.51588602,-149.912912,16.6,3.1,830.2,-9.4,0.648234927,32.41955639,50.01204819
"C11","Night","High",0.206577433,2.201399326,0.86799548,0.14670264,"March",-17.51598098,-149.913194,24.8,2.7,916.4,-8.9,0.799509978,29.54318321,36.9516129
"C12","Night","High",0.210945854,1.332314071,0.855548886,0.151207448,"March",-17.51595701,-149.913303,17.8,2.7,727.7,-9.2,0.753407263,30.80081266,40.88202247
"C13","Night","High",0.205439823,2.834266218,0.764626955,0.225181143,"March",-17.51557102,-149.913136,15.9,2.6,671.5,-9.7,0.715635971,30.22324242,42.2327044
"C14","Night","High",0.189240259,1.949598342,0.554535504,0.265309501,"March",-17.51652597,-149.913031,15.8,3.2,814.3,-9,0.589112603,30.3616704,51.53797468
"C15","Night","High",0.213994649,1.070596873,0.755534762,0.172605288,"March",-17.51721597,-149.913056,21.4,3.1,810.5,-9.5,0.83698373,31.69978098,37.87383178
